Pagina,Id,Code,Omschrijving,Groep,Cijfercode,Begin geldigheid,Gerelateerd
Graafmachine,99,,Graafmachine,Bodembemonstering,99,2018-10-26,
Ankerkuil,98,,Ankerkuil,Ecologische bemonstering,98,2018-05-12,ankerkuil
Atoomkuil,93,,Atoomkuil,Ecologische bemonstering,97,2017-05-20,atoomkuil
Videocamera,92,,Videocamera,Ecologische bemonstering,96,2016-12-08,
Hamon happer,91,,Hamon happer,Bodembemonstering,95,2016-11-03,
Zuigkor,90,,Zuigkor,Ecologische bemonstering,94,2016-07-09,
Elektrostramienkor,89,,Elektrostramienkor,Ecologische bemonstering,93,2016-01-16,
Zegen met keernetten,88,,Zegen met keernetten,Ecologische bemonstering,92,2015-03-05,zegen
Zegen,87,,Zegen,Ecologische bemonstering,91,2015-03-05,zegen
Wonderkuil,86,,Wonderkuil,Ecologische bemonstering,90,2015-03-05,wonderkuil
Stortkuil,85,,Stortkuil,Ecologische bemonstering,89,2015-03-05,stortkuil
Elektrisch schepnet met keernetten,84,,Elektrisch schepnet met keernetten,Ecologische bemonstering,88,2015-03-05,
Werpkorf,83,,Werpkorf,Ecologische bemonstering,66,2011-06-10,
Cilindrisch monsternemingstoestel,82,,Cilindrisch monsternemingstoestel,Waterbemonstering,32,2019-07-10,cilindrisch monsternemingstoestel
Vacuümpomp,81,,Vacuümpomp,Waterbemonstering,36,2011-06-10,vacuümpomp
Steekbuis,80,,Steekbuis,Bodembemonstering,34,2011-06-10,
Spiraal,79,,Spiraal,Bodembemonstering,23,2011-06-10,
Speeddisk passive sampler,78,,Speeddisk passive sampler,Waterbemonstering,86,2012-12-15,
Sondeerapparaat,77,,Sondeerapparaat,Bodembemonstering,28,2011-06-10,
Snoeischaar,76,,Snoeischaar,Ecologische bemonstering,65,2011-06-10,
Slib sampler,75,,Slib sampler,Bodembemonstering,51,2011-06-10,
Siliconen rubber passive sampler,74,,Siliconen rubber passive sampler,Waterbemonstering,84,2012-04-24,
Sedimentval,73,,Sedimentval,Bodembemonstering,50,2025-11-28,
Schietfuik,72,,Schietfuik,Ecologische bemonstering,64,2011-06-10,schietfuik
Roset sampler,71,,Roset sampler,Waterbemonstering,70,2025-11-28,
Pomp,70,,Pomp,Waterbemonstering,68,2025-11-28,pomp
Puinboor,7,,Puinboor,Bodembemonstering,87,2014-09-13,
Pollepel,69,,Pollepel,Waterbemonstering,69,2011-06-10,pollepel
Poliepgrijper,68,,Poliepgrijper,Bodembemonstering,49,2011-06-10,
Planktonnet,67,,Planktonnet,Ecologische bemonstering,63,2011-06-10,net
Piston-corer,66,,Piston-corer,Bodembemonstering,13,2011-06-10,piston-corer
Pelagic trawl,65,,Pelagic trawl,Ecologische bemonstering,62,2011-06-10,trawl
Mosselkorf,64,,Mosselkorf,Ecologische bemonstering,61,2011-06-10,
Modderpuls,63,,Modderpuls,Bodembemonstering,47,2011-06-10,
Kuil,62,,Kuil,Ecologische bemonstering,60,2011-06-10,kuil
Korf,61,,Korf,Ecologische bemonstering,59,2011-06-10,
Handnet,60,,Handnet,Ecologische bemonstering,58,2011-06-10,
Fuik,59,,Fuik,Ecologische bemonstering,57,2011-06-10,fuik
Flushing sampler,58,,Flushing sampler,Waterbemonstering,67,2011-06-10,
Emmer,57,,Emmer,Waterbemonstering,33,2025-11-28,
Elektrisch schepnet,56,,Elektrisch schepnet,Ecologische bemonstering,56,2011-06-10,
Doorstroomcentrifuge,55,,Doorstroomcentrifuge,Waterbemonstering,85,2025-11-28,
Dompelpomp,54,,Dompelpomp,Waterbemonstering,35,2011-06-10,dompelpomp
Boomkor,53,,Boomkor,Ecologische bemonstering,55,2025-11-28,boomkor
Bodemschaaf,52,,Bodemschaaf,Bodembemonstering,45,2025-11-28,
Automatisch monstername apparaat,51,,Automatisch monstername apparaat,Waterbemonstering,71,2011-06-10,
Akoestische zandtransportmeter,50,,Akoestische zandtransportmeter,Bodembemonstering,43,2011-06-10,
Zuigerboor,41,,Zuigerboor,Bodembemonstering,17,2011-06-10,zuigerboor
Vrijwitboor,40,,Vrijwitboor,Bodembemonstering,52,2011-06-10,vrijwitboor
Vibro-corer,39,,Vibro-corer,Bodembemonstering,16,2011-06-10,vibrocorer
Veenboor,38,,Veenboor,Bodembemonstering,18,2011-06-10,veenboor
Van Veen happer,37,,Van Veen happer,Bodembemonstering,15,2025-11-28,van veen grijper
Van der Horst-steektoestel,36,,Van der Horst-steektoestel,Bodembemonstering,82,2011-06-10,van der horst-steektoestel
Valbom,35,,Valbom,Bodembemonstering,14,2011-06-10,valbom
Spitsmuisboor,34,,Spitsmuisboor,Bodembemonstering,29,2011-06-10,spitsmuisboor
Sonisch boorsysteem,33,,Sonisch boorsysteem,Bodembemonstering,81,2011-06-10,sonisch boorsysteem
Pulsboor,32,,Pulsboor,Bodembemonstering,26,2011-06-10,
Akkermanboor,31,,Akkermanboor,Bodembemonstering,42,2011-06-10,akkermanboor
Multi-sampler,30,,Multi-sampler,Bodembemonstering,48,2011-06-10,multi-sampler
Mostap,29,,Mostap,Bodembemonstering,80,2011-06-10,mostap
Kernboor,28,,Kernboor,Bodembemonstering,79,2011-06-10,kernboor
Jenkins-mudsampler,27,,Jenkins-mudsampler,Bodembemonstering,78,2011-06-10,jenkins-mudsampler
Holle avegaar,26,,Holle avegaar,Bodembemonstering,77,2011-06-10,holle avegaar
Handpuls,25,,Handpuls,Bodembemonstering,76,2011-06-10,handpuls
Hamerend boorsysteem,24,,Hamerend boorsysteem,Bodembemonstering,75,2011-06-10,hamerend boorsysteem
Grindboor,23,,Grindboor,Bodembemonstering,24,2011-06-10,grindboor
Foliesteektoestel,22,,Foliesteektoestel,Bodembemonstering,74,2011-06-10,foliesteektoestel
Eckman-Birge happer,21,,Eckman-Birge happer,Bodembemonstering,41,2011-06-10,ekman-birge-happer
Drukkend boorsysteem,20,,Drukkend boorsysteem,Bodembemonstering,73,2011-06-10,drukkend boorsysteem
Riversideboor,2,,Riversideboor,Bodembemonstering,25,2011-06-10,riverside
Continuous soil sampler,19,,Continuous soil sampler,Bodembemonstering,72,2013-07-01,continous soil sampler
Box-corer,18,,Box-corer,Bodembemonstering,46,2025-11-28,boxcorer
Begeman-sampler,17,,Begeman-sampler,Bodembemonstering,44,2011-06-10,begemann-sampler
Beeker-sampler,16,,Beeker-sampler,Bodembemonstering,12,2011-06-10,beeker-sampler
Avegaarboor,15,,Avegaarboor,Bodembemonstering,54,2011-06-10,avegaarboor
Aqualock,14,,Aqualock,Bodembemonstering,83,2011-06-10,aqualock-sampler
Steektoestel zonder folie,13,,Steektoestel zonder folie,Bodembemonstering,53,2011-06-10,steektoestel zonder folie
VigiDNA filter,127,,VigiDNA filter,Ecologische bemonstering,127,2025-08-29,VigiDNA filter
Hokfuik,126,,Hokfuik,Ecologische bemonstering,126,2025-04-03,hokfuik
Kieuwnet,125,,Kieuwnet,Ecologische bemonstering,125,2025-04-03,kieuwnet
"Surber sampler bemonsteringsgrootte 0,06 m2 maaswijdte 1 mm",124,,"Surber sampler bemonsteringsgrootte 0,06 m2 maaswijdte 1 mm",Ecologische bemonstering,124,2024-01-30,surber sampler
Pulsdraad,123,,Pulsdraad,Ecologische bemonstering,123,2023-08-03,pulsdraad
Hemoflow,122,,Hemoflow,Waterbemonstering,122,2023-04-26,hemoflow
Buis,121,,Buis,Luchtbemonstering,121,2022-11-30,
Filter,120,,Filter,Luchtbemonstering,120,2022-11-30,filter
Gutsboor,12,,Gutsboor,Bodembemonstering,31,2011-06-10,
Datura mobiele vacuumpomp,119,,Datura mobiele vacuumpomp,Ecologische bemonstering,119,2022-09-29,Datura mobiele vacuumpomp
Smithroot eDNA sampler,118,,Smithroot eDNA sampler,Ecologische bemonstering,118,2022-09-29,Smithroot eDNA sampler
Hand,117,,Hand,Ecologische bemonstering,117,2022-08-24,
Hark,116,,Hark,Ecologische bemonstering,116,2022-08-24,
Schraper,115,,Schraper,Ecologische bemonstering,115,2022-03-11,
Borstel,114,,Borstel,Ecologische bemonstering,114,2022-03-11,
Micro-macrofaunaschoffel,113,,Micro-macrofaunaschoffel,Ecologische bemonstering,113,2022-03-11,micro-macrofaunaschoffel
Keukenzeef,112,,Keukenzeef,Ecologische bemonstering,112,2022-03-11,
Standaard macrofaunanet,111,,Standaard macrofaunanet,Ecologische bemonstering,111,2022-03-11,standaard macrofaunanet
Zalmsteek,110,,Zalmsteek,Ecologische bemonstering,110,2022-01-07,zalmsteek
Macrozoöbenthos zuiger,109,,Macrozoöbenthos zuiger,Bodembemonstering,109,2021-04-09,
Vacuüm steekbuis,108,,Vacuüm steekbuis,Bodembemonstering,108,2021-04-09,
Stootijzer,107,,Stootijzer,Bodembemonstering,107,2020-10-06,
Telescopische stok met flessenhouder,106,,Telescopische stok met flessenhouder,Waterbemonstering,106,2020-02-04,
Peristaltische pomp,105,,Peristaltische pomp,Waterbemonstering,105,2019-10-30,peristaltische pomp
Maatbeker,104,,Maatbeker,Waterbemonstering,104,2019-05-11,
Geoprobe,103,,Geoprobe,Bodembemonstering,103,2018-10-26,
Veenguts,102,,Veenguts,Bodembemonstering,102,2018-10-26,
Wortelboor,101,,Wortelboor,Bodembemonstering,101,2018-10-26,
Schep,100,,Schep,Bodembemonstering,100,2018-10-26,
Ramguts,10,,Ramguts,Bodembemonstering,27,2011-06-10,ramguts
Edelmanboor,1,,Edelmanboor,Bodembemonstering,20,2011-06-10,
