id,naam
Id-3a0fe8a5-8311-44fe-9833-7fe6f22e8b7c,Aanduiding_naamgebruik
Id-4de970ce-32bd-4884-ab81-95092ff6f377,Aanslag_type
Id-73e07396-a247-416d-b2b8-cf184b050d05,Aanvoereenheid_soorten
Id-3d298a2d-0d3a-4b01-aeb6-cfa47f0ac831,Aanvoergebied_soorten
Id-28bd3429-0a0c-4f8a-939c-f100bcc29e7d,Aanwezig_afwezig_onbekend
Id-7b2b85fc-150b-4d6d-aae4-72d48c26e334,Academische_titel
Id-d67757b0-7b2c-4e0d-82af-0e55937bd1e5,Adellijke_titel_of_predikaat
Id-48702a56-5a92-4058-b699-8bef53f72b52,Afleveringspunt_soorten
Id-6bb13ab7-887d-4486-a4ff-4172550ef4a2,Afrastering_soorten
Id-c8f3b32e-a533-4450-a451-db79fa680faf,Afsluitbare_stuw_soorten
Id-41a853b8-5166-4185-a4c2-d073e6260289,Afsluiter_bediening_soorten
Id-567ef008-3bc2-461f-a9ef-4e4a0f8873da,Afsluiting_duikers
Id-e1160013-a760-4c45-ab42-ebe9d98e1b62,Afsluitwijzen
Id-b0108836-8657-4890-8b89-b1be202556f5,Afvoergebied_soorten
Id-9777b865-ed56-46ab-906c-4579665db6f2,Afwateringseenheid_soorten
Id-3316549e-cac8-48eb-8fd2-08ef5c2cc17d,AtRisktype
Id-86ef657c-49c2-44a0-96c4-4e12efff447d,BBP_beheerproduct
Id-8844ec5a-4472-4b96-8476-ae5fde00e4a9,BBP_beleidsproduct
Id-76d9511c-d173-489a-ae7c-ab83eae32abf,Bediening_soorten
Id-d558e09b-3359-4963-afb6-29aa7fe064e6,Bedrijfstakken_WVOW
Id-9ff2fe3c-c33a-4981-b7de-465b976940fa,Beheersvormen_waterkering
Id-c446b3ec-b2fc-4c44-a323-d11c103f1aea,Bekleding_typen_voor_profielen
Id-e8013808-4679-453a-bc1b-e4060bc148fa,Belastingsoorten
Id-e8513e4b-e8d4-4033-b74a-300ccedf6b7b,Bemalen_of_vrij_verval
Id-11309f26-f01d-4afb-999f-afa11c5c09bd,Beoordeling_schade
Id-d0b60f4c-445c-41f7-b8f7-ca42120d3b37,Beplanting_soorten
Id-7f1f6296-d16b-4166-bfc1-eda5613b53f1,Bestemmingen_afvalwater
Id-c58aee20-8352-42bf-a1da-0552332dad0f,Beweegbare_bruggen
Id-1ee84e43-6d92-40d2-9039-c1044c663d56,Boomhoogte
Id-ccaf5449-7556-4d0b-bc65-1233d1842546,Bord_en_mast_soorten
Id-b1f0bf6f-479c-4a14-820f-8884e8614eda,Bouwwerk_soorten
Id-711d5667-6856-412d-b5cb-b6b1f96c6e9c,Brander
Id-a46def5e-ac13-4bf2-b043-d0ac3a737dc4,Buisvormen
Id-dd8c14df-064f-4376-99fd-caad350ae09f,CEFILT
Id-992b9fe8-2568-4de6-bf1c-472e5337bc7d,Code_stroomrichting
Id-378e7bd7-5f1e-4ad2-ac94-8c4b724c24d4,Code_sturing
Id-426a6752-7e5a-42b7-9663-31a77858f228,Correspondentie_soorten
Id-dbdcdde4-eb1c-4f7f-bb0f-072a0376b6da,Detailonderdeel_bijzondere_weglaag
Id-f65c91b9-3a82-4062-9985-f2020115dbe3,Detailplaats_lijnmarkering
Id-c731e301-0663-4ad5-bd90-a0c7c0c153e1,Dimensies_meetfrequentie
Id-b0150197-e4f9-4580-81e0-e99e81ac514a,Dimensies_toelaatbare_vracht
Id-3ec9d47d-1d5d-47cd-9b84-197c47edb28b,Doelen_baggerwerkzaamheden
Id-f823e9ea-110f-442f-9397-8a053d5e72e1,Doelen_voor_metingen
Id-a8de2d98-8f78-4a96-8df9-1367c18ebe2f,Domein_1D_kruinvormen
Id-58dcff94-2280-4f52-ac33-ff3cd37a81f6,Doorspoelbaarheid
Id-35ba0f5d-48f1-4759-bd3b-af13e41a3f4c,Drainerende_werking
Id-c7938ec8-e7af-4665-978c-37a992a2c8b3,Druk
Id-d3e57530-5353-423a-8947-d96ab31a41c8,Drukklassen
Id-694ba57b-e53e-41de-9144-10cca2a4ac00,EBEOkarakteristiek
Id-23aa7717-03f0-4ab3-b890-9812d387e2a3,Ecologische_verbindingszone_soort
Id-a62290ba-ca1e-4d66-b2ac-a1fcd6baa848,Eenheden_hoeveelheden_parameter
Id-a98257de-9c7c-400c-aace-bba6cbc57651,Eenheden_voor_precario
Id-9ea7a462-c2b1-4d58-ba88-ebafcee5e3fb,Effecttype
Id-9f7639a1-6d70-4d94-8eb2-0636862f29db,Eindbeeld_boomvakdeel
Id-466fd9ac-582c-41ba-b1b2-141907206f5b,Eindbestemmingen_baggerspecie
Id-185c43b5-b0c2-4d76-a010-ddecb4e91871,EmissieBrontype
Id-e6b5be76-608f-4e61-b150-b89508216e23,Energielevering_soorten
Id-131cd60f-98ac-48ad-a167-d967a81a5b92,FunctieKunstwerk
Id-675e632e-1809-205c-bec1-bb371c0d7feb,FunctienaamInstrumentatie
Id-d6dfebe6-5824-4894-b35d-569209aab964,Functies_vastgoedelementen_en_gebieden
Id-5a93e6e5-1715-46b9-b082-a121f439e196,Gebouwd_onbebouwd
Id-6f3e88d2-6b64-4317-8093-4f1c38668262,Gebruikscodes_objecten
Id-f7325fd7-e6d7-4b8a-8917-2d25ed8f27fb,Geografische_schalen
Id-f7847bc5-1470-4380-9d72-5f6713284797,Goed_matig_slecht_onbekend
Id-8cb8ee59-2c06-42aa-a90f-2cb393b71718,Graderingen_filterlaag
Id-a75d5b6d-3236-4818-a076-d0dc5c3a8f71,Gras_beheervorm
Id-51ed34ed-3e10-4b95-a11f-a87eda32fc05,Gras_soorten
Id-a17faa29-b2e1-4367-88f5-3756c03a3c07,Groenbeheerniveau
Id-b19c7245-9832-43e6-8ade-03db75ef8ed1,Groentype
Id-364c5b80-0e34-4c2c-9bf7-76cb7795e4b9,Grondmechanische_aspect_soorten
Id-c02dfdbd-ce22-4516-966f-fe774a78cc30,Grondslagen
Id-1ff4761f-27c4-4504-bb9d-d450076ad615,Grootheid_dummy
Id-3abbf84b-df7f-4be9-b51d-057286cc45e5,Half_automatisch_handmatig_onbekend
Id-857edaca-c687-4a94-ba94-99d687cfd4bc,Heffingsobject_soorten
Id-0a9ae386-c90b-46dd-b58c-95c5b09bf860,Indicatie_aanwezigheid
Id-4371940a-ae2e-4479-968d-c2b64159dd66,Inrichtingtype
Id-2e36f4c7-92cb-49a3-8257-2975f71f5159,Inspectieresultaat_boomvakdeel
Id-ac261034-48d1-40fd-a93f-3c0fb5be56ae,IWSRindicator
Id-e16cd4e0-b789-484e-877e-5d1b7bf3ea1b,JA_1_of_NEE_2
Id-a4a85835-eb5d-4d1c-b7c3-f5ab043852ff,JA_of_NEE
Id-0fc88170-31a8-4e34-b14f-50ff9ce770b0,J_N_of_onbekend
Id-e41600cd-e1f1-4168-998e-b2b2ac183f70,Kabel_en_leiding_soorten
Id-24f3c542-a3c8-4de9-9ce9-169bc3a315ac,Koppelstuk_soorten
Id-f3c41b25-2cff-4a5b-86d4-6d35a6b41091,Kruinvormen
Id-8dbaa4ff-54d7-42bb-95f6-3b87fd0c332b,KRWhydromorfologische_parameter
Id-eee758b3-e9a9-4137-bfc0-f9a9bcbd357a,KRWKwaliteitselement
Id-48c8f850-9f54-4dea-9562-ad5db42f721e,Leidingdeel_soorten
Id-a1d4630f-35ed-4e2a-bd57-4beaf837689d,Lijnvormige_beplanting_soorten
Id-7adcd539-63bf-4ee6-9716-d92718216234,Lozingsvoorziening_soorten
Id-b54ebf4a-1d97-41ec-b915-d5d3268707db,L_R_B
Id-e96fe356-41d9-42eb-bbc0-7aab27743554,Mapping_SDN_P01
Id-504d3e4d-36df-425b-8d7b-85c1ffedcd4c,Materialen_voor_afvalwatertransportwerken
Id-4b1fdd3e-f334-417b-8975-88a615963462,Materialen_voor_bekleding_waterkering
Id-8ba0715f-65d0-4532-9883-abdb6175fbcc,Materialen_voor_bekleding_waterkering_of_profiel
Id-fe209146-858a-4193-8211-5f29d76d824d,Materialen_voor_profielverdedigingen
Id-767960c6-6cdd-4297-aca9-09fc4e9d2825,Meting
Id-10f44508-a68d-4ade-a370-f3145abf32d5,Ontluchter_soorten
Id-5c3b3f45-8921-409a-9216-043d557cb058,Onttrekkingsvoorziening_soorten
Id-a5830390-1b38-49ab-bde7-c66e61d1d972,Onttrekkingtype
Id-2ea2b22e-7153-4ca4-a5a6-15bf9f856786,Opmerking_inspectie
Id-b748dd68-121b-4edd-9a6b-0796dfc69a60,Opmerking_weglaag
Id-7e8a5d8f-328a-411e-be9a-36304eb3d389,OppervlakteCategorieStoomgebiedtype
Id-fd275aa1-be90-4d37-8861-6e5a15876ba2,Overige_vastgoedelement_soorten
Id-f2090dc4-967b-4342-99bd-6dec2f6279ad,Plaatsbepalingsapparaat
Id-d166c699-c8f5-4bbc-b8d9-e73191de7e38,Profiellijn_soorten
Id-7ce74514-431c-4479-9736-ebf033df9672,Puntvormige_beplanting_soorten
Id-174ccfca-9c11-4d57-9583-8212f3dabaaa,Put_meetvoorziening_soorten
Id-bd0843df-1ad9-4bfb-b12d-c3a63db9e77e,Randvoorziening_typen
Id-404db6d5-edcf-4347-98d6-54f7899a1eac,Rechtsvormen_bedrijf
Id-f839660d-ceb5-4e64-ab69-537df51e3331,RedenGebruikLocatie
Id-de7a95c1-a411-4dec-a48b-ef60224bb45d,Regelbaarheid_soorten_voor_stuwen
Id-175d7fdd-adb0-4754-aa91-0029cf8162df,RichtlijnType
Id-0292dd3d-c1c1-4345-b829-b8cdf0c21151,Rioleringselementen
Id-8a4c71d4-f71f-48fa-bb2e-28e614d76679,RWZI_soorten
Id-481253e8-3ea7-40ab-90d1-cf1dbbf2cda0,Scheepvaartteken
Id-07b20f0c-24eb-4f98-a9c9-09006c73c0a0,SGBPTitel
Id-fc5fb882-029e-4927-aa9f-dc00c04523b0,Soort_zorgplicht_voor_bomen
Id-21423a68-ef30-4b4b-9418-5652cb98655b,Spanningsklassen
Id-2624f6bb-e079-4935-a020-318932777998,Srt_zorgplicht
Id-a8586d6a-dba0-46bd-b061-3ab396b573d1,Stuw_soorten
Id-7eea8185-ea26-4fdb-a26c-baa2a54fc980,Tijdelijke_kroon
Id-1c86995e-2fed-4425-90ba-25e1af06ce13,Tijdstapeenheden
Id-0b0b2930-e672-46a5-8651-13c3ace3dc13,Vaarweg_soorten
Id-25920c55-67f8-4f98-9231-b1c2cd8e8645,Veer_typen
Id-e20777e8-beec-467d-948e-ad2c6d6f0d6c,Verkeersvoorziening_boomvakdeel
Id-b13886af-bf81-46df-817f-d4dc2e55876f,Vormen
Id-da5f234a-b9da-4bd8-bf2f-f72f3afb2bbd,Vormen_algemeen
Id-e136c0e0-f9b7-4788-81fc-d404ad838049,Vormen_oud
Id-2479ec68-3102-4367-88bb-beffbbc367d2,Vormen_voor_afvalwatertransportwerken
Id-c526db87-350e-4a70-b919-da51c9859b31,Waterrijkheidtype
Id-88689c4e-cb5c-435f-b8b5-876abd2c0ed7,Zuivering_soorten
