Pagina,Id,Code,Omschrijving,Groep,Omschrijving Engels,Begin geldigheid,Gerelateerd
"Verbeteren waterhuishouding/peilregime (o.a. natuurlijker peil, voorkomen droogval van beken, eisen aan minimum afvoer, tegengaan van verzilting)",9,KTM7,"Verbeteren waterhuishouding/peilregime (o.a. natuurlijker peil, voorkomen droogval van beken, eisen aan minimum afvoer, tegengaan van verzilting)",EU-KRW,Improvements in flow regime and/or establishment of ecological flows,2019-12-18,
"Beheer en onderhoud gericht op verbetering waterkwaliteit (overig beheer dat niet onder andere KTM valt o.a. maaibeheer, tegengaan vraat)",8,KTMNL02,"Beheer en onderhoud gericht op verbetering waterkwaliteit (overig beheer dat niet onder andere KTM valt o.a. maaibeheer, tegengaan vraat)",NL-KRW,Maintenance focused on improving water quality,2025-11-26,
"Verbeteren van de hydromorfologische condities van waterlichamen anders dan vergroten van de vispasseerbaarheid (o.a. aanpassing waterdiepte, hermeandering, sedimentsamenstelling)",7,KTM6,"Verbeteren van de hydromorfologische condities van waterlichamen anders dan vergroten van de vispasseerbaarheid (o.a. aanpassing waterdiepte, hermeandering, sedimentsamenstelling)",EU-KRW,Improving hydromorphological conditions of water bodies other than longitudinal continuity,2019-12-18,
"Vispasseerbaarheid vergroten (o.a. vispassages, sluisbeheer, het verwijderen van dammen)",6,KTM5,"Vispasseerbaarheid vergroten (o.a. vispassages, sluisbeheer, het verwijderen van dammen)",EU-KRW,"Improving longitudinal continuity (e.g. establishing fish passes, demolishing old dams)",2019-12-18,
"Saneren en beheren van vervuilde historische locaties (o.a. slib-/baggerdepots, grondwater, bodem, nutrienten)",5,KTM4,"Saneren en beheren van vervuilde historische locaties (o.a. slib-/baggerdepots, grondwater, bodem, nutrienten)",EU-KRW,"Remediation of contaminated sites (historical pollution including sediments, groundwater, soil)",2019-12-18,bodemgrondwater
Andere maatregelen,43,KTM39,Andere maatregelen,EU-KRM,Other measures,2021-03-12,
Maatregelen met betrekking tot maatregelen voor ruimtelijke bescherming voor het mariene milieu (niet gerapporteerd onder een ander KTM),42,KTM38,Maatregelen met betrekking tot maatregelen voor ruimtelijke bescherming voor het mariene milieu (niet gerapporteerd onder een ander KTM),EU-KRM,Measures related to Spatial Protection Measures for the marine environment (not reported under another KTM),2021-03-12,
"Maatregelen om mariene ecosystemen, inclusief habitats en soorten, te herstellen en te behouden",41,KTM37,"Maatregelen om mariene ecosystemen, inclusief habitats en soorten, te herstellen en te behouden",EU-KRM,"Measures to restore and conserve marine ecosystems, including habitats and species",2021-03-12,
"Maatregelen om andere soorten biologische verstoring te verminderen, waaronder overlijden, letsel, verstoring, translocatie van inheemse mariene soorten, de introductie van microbiële pathogenen en de introductie van genetisch gemodificeerde individuen van mariene soorten (bijv. Van aquacultuur)",40,KTM36,"Maatregelen om andere soorten biologische verstoring te verminderen, waaronder overlijden, letsel, verstoring, translocatie van inheemse mariene soorten, de introductie van microbiële pathogenen en de introductie van genetisch gemodificeerde individuen van mariene soorten (bijv. Van aquacultuur)",EU-KRM,"Measures to reduce other types of biological disturbance, including death, injury, disturbance, translocation of native marine species, the introduction of microbial pathogens and the introduction of genetically-modified individuals of marine species (e.g. from aquaculture)",2021-03-12,
Verminderen uitspoeling gewasbeschermingsmiddelen uit de landbouw,4,KTM3,Verminderen uitspoeling gewasbeschermingsmiddelen uit de landbouw,EU-KRW,Reduce pesticides pollution from agriculture.,2019-12-18,
"Maatregelen om biologische verstoringen in het mariene milieu door de winning van soorten te verminderen, met inbegrip van incidentele niet-doelgerichte vangsten",39,KTM35,"Maatregelen om biologische verstoringen in het mariene milieu door de winning van soorten te verminderen, met inbegrip van incidentele niet-doelgerichte vangsten",EU-KRM,"Measures to reduce biological disturbances in the marine environment from the extraction of species, including incidental non-target catches",2021-03-12,
Maatregelen om de introductie en verspreiding van niet-inheemse soorten in het mariene milieu te verminderen en voor hun bestrijding,38,KTM34,Maatregelen om de introductie en verspreiding van niet-inheemse soorten in het mariene milieu te verminderen en voor hun bestrijding,EU-KRM,Measures to reduce the introduction and spread of non-indigenous species in the marine environment and for their control,2021-03-12,
Maatregelen om de toevoer van nutriënten en organische stoffen naar het mariene milieu te verminderen vanuit zee- of luchtbronnen,37,KTM33,Maatregelen om de toevoer van nutriënten en organische stoffen naar het mariene milieu te verminderen vanuit zee- of luchtbronnen,EU-KRM,Measures to reduce nutrient and organic matter inputs to the marine environment from sea-based or air-based sources,2021-03-12,
Maatregelen om door ongevallen veroorzaakte verontreiniging op zee te verminderen,36,KTM32,Maatregelen om door ongevallen veroorzaakte verontreiniging op zee te verminderen,EU-KRM,Measures to reduce sea-based accidental pollution,2021-03-12,
"Maatregelen om de besmetting door gevaarlijke stoffen (synthetische stoffen, niet-synthetische stoffen, radionucliden) en de systematische en / of opzettelijke introductie van stoffen in het mariene milieu uit bronnen op zee of op de lucht te verminderen",35,KTM31,"Maatregelen om de besmetting door gevaarlijke stoffen (synthetische stoffen, niet-synthetische stoffen, radionucliden) en de systematische en / of opzettelijke introductie van stoffen in het mariene milieu uit bronnen op zee of op de lucht te verminderen",EU-KRM,"Measures to reduce contamination by hazardous substances (synthetic substances, non-synthetic substances, radio-nuclides) and the systematic and/or intentional release of substances in the marine environment from seabased or air-based sources",2021-03-12,
Maatregelen om interferenties met hydrologische processen in het mariene milieu te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot KRW-kustwateren),34,KTM30,Maatregelen om interferenties met hydrologische processen in het mariene milieu te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot KRW-kustwateren),EU-KRM,Measures to reduce interferences with hydrological processes in the marine environment (and not reported under KTM 6 in relation to WFD Coastal Waters),2021-03-12,
Maatregelen om afval in het mariene milieu te verminderen,33,KTM29,Maatregelen om afval in het mariene milieu te verminderen,EU-KRM,Measures to reduce litter in the marine environment,2021-03-12,
"Maatregelen om de input van energie, inclusief onderwatergeluid, aan het mariene milieu te verminderen",32,KTM28,"Maatregelen om de input van energie, inclusief onderwatergeluid, aan het mariene milieu te verminderen",EU-KRM,"Measures to reduce inputs of energy, including underwater noise, to the marine environment",2021-03-12,
Maatregelen om fysieke schade in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot KRW-kustwateren),31,KTM27,Maatregelen om fysieke schade in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot KRW-kustwateren),EU-KRM,Measures to reduce physical damage in marine waters (and not reported under KTM 6 in relation to WFD Coastal Waters),2021-03-12,
Maatregelen om fysiek verlies van zeebodemhabitats in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot kustwateren KRW),30,KTM26,Maatregelen om fysiek verlies van zeebodemhabitats in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot kustwateren KRW),EU-KRM,Measures to reduce physical loss of seabed habitats in marine waters (and not reported under KTM 6 in relation to WFD Coastal Waters),2021-03-12,
Nutriëntenreductie vanuit diverse bronnen,3,KTMNL01,Nutriëntenreductie vanuit diverse bronnen,NL-KRW,Reduce nutrient pollution from multiple drivers,2025-11-26,
Maatregelen gericht op bewustwording (o.a. educatie),28,KTMNL03,Maatregelen gericht op bewustwording (o.a. educatie),NL-KRW,Awareness raising measures (e.g. education),2025-11-26,
Maatregelen om verzuring tegen te gaan,27,KTM25,Maatregelen om verzuring tegen te gaan,EU-KRW,Measures to counteract acidification,2019-12-18,
Aanpassen aan gevolgen van klimaatverandering,26,KTM24,Aanpassen aan gevolgen van klimaatverandering,EU-KRW,Adaptation to climate change,2019-12-18,
"Natuurlijke waterretentie maatregelen (o.a. wadi's, retentievijvers of andere vormen van water vasthouden)",25,KTM23,"Natuurlijke waterretentie maatregelen (o.a. wadi's, retentievijvers of andere vormen van water vasthouden)",EU-KRW,Natural water retention measures,2019-12-18,
Maatregelen om verontreinigingen uit de bosbouw te voorkomen of beperken,24,KTM22,Maatregelen om verontreinigingen uit de bosbouw te voorkomen of beperken,EU-KRW,Measures to prevent or control the input of pollution from forestry,2019-12-18,
"Maatregelen om verontreinigingen uit stedelijke gebieden, vervoer en gebouwde infrastructuur te voorkomen of beperken",23,KTM21,"Maatregelen om verontreinigingen uit stedelijke gebieden, vervoer en gebouwde infrastructuur te voorkomen of beperken",EU-KRW,"Measures to prevent or control the input of pollution from urban areas, transport and built infrastructure",2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van visserij en andere vormen van exploitatie / verwijdering van dieren en planten te voorkomen of beperken (exclusief hengelsport),22,KTM20,Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van visserij en andere vormen van exploitatie / verwijdering van dieren en planten te voorkomen of beperken (exclusief hengelsport),EU-KRW,Measures to prevent or control the adverse impacts of fishing and other exploitation/removal of animal and plants,2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van recreatie (inclusief hengelsport),21,KTM19,Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van recreatie (inclusief hengelsport),EU-KRW,Measures to prevent or control the adverse impacts of recreation including angling,2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van effecten van invasieve soorten en de verspreiding van ziekten,20,KTM18,Maatregelen gericht op het voorkomen en beheersen van effecten van invasieve soorten en de verspreiding van ziekten,EU-KRW,Measures to prevent or control the adverse impacts of invasive alien species and introduced diseases,2019-12-18,
"Nutriëntreductie vanuit de landbouw (o.a. minder gebruik van kunstmest, zuiveringsmoeras)",2,KTM2,"Nutriëntreductie vanuit de landbouw (o.a. minder gebruik van kunstmest, zuiveringsmoeras)",EU-KRW,Reduce nutrient pollution from agriculture,2019-12-18,
Maatregelen gericht op de reductie van bodemerosie en afspoeling,19,KTM17,Maatregelen gericht op de reductie van bodemerosie en afspoeling,EU-KRW,Measures to reduce sediment from soil erosion and surface run-off,2019-12-18,
Vergroten of verbeteren van industriële afvalwaterzuiveringsinstallaties (ook landbouw),18,KTM16,Vergroten of verbeteren van industriële afvalwaterzuiveringsinstallaties (ook landbouw),EU-KRW,Upgrades or improvements of industrial wastewater treatment plants (including farms).,2019-12-18,
Maatregelen voor de uitfasering van emissies en lozingen van Prioritair Gevaarlijke Stoffen of de reductie van emissies en lozingen van Prioritaire Stoffen.,17,KTM15,Maatregelen voor de uitfasering van emissies en lozingen van Prioritair Gevaarlijke Stoffen of de reductie van emissies en lozingen van Prioritaire Stoffen.,EU-KRW,"Measures for the phasing out of emissions, discharges and losses of Priority Hazardous Substances or for the reduction of emissions, discharges and losses of Priority Substances",2019-12-18,
Onderzoek en vergroten van kennisbasis teneinde onzekerheid te verkleinen,16,KTM14,Onderzoek en vergroten van kennisbasis teneinde onzekerheid te verkleinen,EU-KRW,"Research, improvement of knowledge base reducing uncertainty",2019-12-18,
Drinkwaterbeschermingsmaatregelen (o.a. instellen grondwaterbeschermingszone en bufferzones),15,KTM13,Drinkwaterbeschermingsmaatregelen (o.a. instellen grondwaterbeschermingszone en bufferzones),EU-KRW,"Drinking water protection measures (e.g. establishment of safeguard zones, buffer zones etc)",2019-12-18,
Advies en voorlichting voor de landbouw,14,KTM12,Advies en voorlichting voor de landbouw,EU-KRW,Advisory services for agriculture,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op landbouw",13,KTM11,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op landbouw",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from agriculture,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op de industrie (o.a. zuiveringsheffing)",12,KTM10,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op de industrie (o.a. zuiveringsheffing)",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from industry,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op huishoudens (o.a. zuiveringsheffing)",11,KTM9,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op huishoudens (o.a. zuiveringsheffing)",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from households,2019-12-18,
"Waterbesparing en -hergebruik, vermindering irrigatie",10,KTM8,"Waterbesparing en -hergebruik, vermindering irrigatie",EU-KRW,"Water efficiency, technical measures for irrigation, industry, energy and households",2019-12-18,
De bouw of verbetering van afvalwaterzuiveringsinstallaties,1,KTM1,De bouw of verbetering van afvalwaterzuiveringsinstallaties,EU-KRW,Construction or upgrades of wastewater treatment plants,2019-12-18,
