Pagina,Id,Code,Omschrijving,Groep,Symbool,Begin geldigheid,Gerelateerd
Dagtank,302,dtk,Dagtank,,,2016-01-28,dagtank
Clarigester,301,crg,Clarigester,,,2016-01-28,clarigester
Tank,300,t--,Tank,,,2016-01-28,tank
Boostergemaal,30,bg-,Boostergemaal,,,2016-01-28,boostergemaal
Drukreduceerventiel,3,drv,Drukreduceerventiel,,,2016-01-28,drukreduceerventiel
Wisseltank,299,wst,Wisseltank,,,2016-01-28,wisseltank
Ontgassingstank,298,ogt,Ontgassingstank,,,2016-01-28,ontgassingstank
Oxischetank,297,oxt,Oxischetank,,,2016-01-28,oxischetank
Effluentvijver,296,eur,Effluentvijver,,,2016-01-28,effluentvijver
Buffer,295,bft,Buffer,,,2016-01-28,buffertank
Opslagtank,294,ot-,Opslagtank,,,2016-01-28,opslagtank
Verzameltank,293,vtk,Verzameltank,,,2016-01-28,verzameltank
Koelwatertank,292,kwt,Koelwatertank,,,2016-01-28,koelwatertank
Hulpstoffentank,291,ht-,Hulpstoffentank,,,2016-01-28,hulpstoffentank
Extern afvalstoftank,290,eat,Extern afvalstoftank,,,2016-01-28,extern afvalstoftank
Chemicaliënopslag,29,cos,Chemicaliënopslag,,,2016-01-28,chemicaliënopslag
Afgewerkte olie opslagtank,289,asv,Afgewerkte olie opslagtank,,,2016-01-28,afgewerkte olie opslagtank
Polymeergebruikstank,288,pgt,Polymeergebruikstank,,,2016-01-28,polymeergebruikstank
Dagtank smeerolie,287,sod,Dagtank smeerolie,,,2016-01-28,dagtank smeerolie
Huisbrandolieopslag,286,hbo,Huisbrandolieopslag,,,2016-01-28,huisbrandolieopslag
Voorbezinktank,285,vbt,Voorbezinktank,,,2016-01-28,voorbezinktank
Vacuümtank,284,vct,Vacuümtank,,,2016-01-28,vacuümtank
Tussenbezinktank,283,tbt,Tussenbezinktank,,,2016-01-28,tussenbezinktank
Slibbuffertank,282,sot,Slibbuffertank,,,2016-01-28,slibbuffertank
Sliblagune,281,sla,Sliblagune,,,2016-01-28,sliblagune
Polymeerrijptank,280,prt,Polymeerrijptank,,,2016-01-28,polymeerrijptank
Afvalstoffenopslag,28,aso,Afvalstoffenopslag,,,2016-01-28,afvalstoffenopslag
Polymeeropslagtank,279,pot,Polymeeropslagtank,,,2016-01-28,polymeeropslagtank
Polymeeraanmaaktank,278,pat,Polymeeraanmaaktank,,,2016-01-28,polymeeraanmaaktank
Oxidatiebed,277,ob-,Oxidatiebed,,,2016-01-28,oxidatiebed
Nabezinktank,276,nbt,Nabezinktank,,,2016-01-28,nabezinktank
Metaalzoutenopslagtank,275,mot,Metaalzoutenopslagtank,,,2016-01-28,metaalzoutenopslagtank
Mengtank,274,mt-,Mengtank,,,2016-01-28,mengtank
Helofytenfilter,273,hff,Helofytenfilter,,,2016-01-28,helofytenfilter
Gistingstank,272,gt-,Gistingstank,,,2016-01-28,gistingstank
Gashouder,271,gh-,Gashouder,,,2016-01-28,gashouder
Contacttank,270,ct-,Contacttank,,,2016-01-28,contacttank
Warmtewisselaar,27,ww-,Warmtewisselaar,,,2016-01-28,warmtewisselaar
Chlooropslagtank,269,cot,Chlooropslagtank,,,2016-01-28,chlooropslagtank
Calamiteitenbak,268,cb-,Calamiteitenbak,,,2016-01-28,calamiteitenbak
Bronwatertank,267,bwt,Bronwatertank,,,2016-01-28,bronwatertank
Breektank,266,bt-,Breektank,,,2016-01-28,breektank
Bergbezinkbassin,265,bb-,Bergbezinkbassin,,,2016-01-28,bergbezinkbassin
Anoxische tank,264,ao-,Anoxische tank,,,2016-01-28,anoxische tank
Anaërobe tank,263,an-,Anaërobe tank,,,2016-01-28,anaërobe tank
Actiefslibtank,262,at-,Actiefslibtank,,,2016-01-28,actiefslibtank
Straat,261,str,Straat,,,2016-01-28,straat
Zeefinstallatie,260,zi-,Zeefinstallatie,,,2016-01-28,zeefinstallatie
Doseerunit,26,du-,Doseerunit,,,2016-01-28,doseerunit
Roostergoedinstallatie,259,rgi,Roostergoedinstallatie,,,2016-01-28,roostergoedinstallatie
Cycloon,258,zc-,Cycloon,,,2016-01-28,cycloon
Zandafscheider,257,za-,Zandafscheider,,,2016-01-28,zandafscheider
Olieafscheider,256,oa-,Olieafscheider,,,2016-01-28,olieafscheider
Mechanische indikinstallatie,255,mii,Mechanische indikinstallatie,,,2016-01-28,mechanische indikinstallatie
Indikker,254,i--,Indikker,,,2016-01-28,indikker
Membraanfilter,253,mf-,Membraanfilter,,,2016-01-28,membraanfilter
Filter,252,f--,Filter,,,2016-01-28,filter
Zeeftrommel,251,zt-,Zeeftrommel,,,2016-01-28,zeeftrommel
Mechanische ontwateringsinstallatie,250,moi,Mechanische ontwateringsinstallatie,,,2016-01-28,mechanische ontwateringsinstallatie
Doseersluis,25,ds-,Doseersluis,,,2016-01-28,doseersluis
Zandvang,249,zv-,Zandvang,,,2016-01-28,zandvang
Zandfilter,248,zf-,Zandfilter,,,2016-01-28,zandfilter
Voorindikker,247,vi-,Voorindikker,,,2016-01-28,voorindikker
Rooster,246,ro-,Rooster,,,2016-01-28,rooster
Lavafilter,245,lf-,Lavafilter,,,2016-01-28,lavafilter
Indikcentrifuge,244,ic-,Indikcentrifuge,,,2016-01-28,indikcentrifuge
Condensafscheider,243,ca-,Condensafscheider,,,2016-01-28,condensafscheider
Biofilter,242,cf-,Biofilter,,,2016-01-28,biofilter
Bedrijfswaterfilter,241,bwf,Bedrijfswaterfilter,,,2016-01-28,bedrijfswaterfilter
Drooginstallatie,240,di-,Drooginstallatie,,,2016-01-28,drooginstallatie
Oliefiltratie-unit,24,ofu,Oliefiltratie-unit,,,2016-01-28,oliefiltratie-unit
Drijflaagruimer,239,dlr,Drijflaagruimer,,,2016-01-28,drijflaagruimer
Slibruimer,238,slr,Slibruimer,,,2016-01-28,slibruimer
Zandruimer,237,zr-,Zandruimer,,,2016-01-28,zandruimer
Slibdroogbedruimer,236,sdr,Slibdroogbedruimer,,,2016-01-28,slibdroogbedruimer
Ruimerbrug,235,rb-,Ruimerbrug,,,2016-01-28,ruimerbrug
Centrifugaatput,234,ctt,Centrifugaatput,,,2016-01-28,centrifugaatput
Stuwput,233,spt,Stuwput,,,2016-01-28,stuwput
Condensaatput,232,cst,Condensaatput,,,2016-01-28,condensput
Lenspompput,231,lpp,Lenspompput,,,2016-01-28,lenspompput
Put,230,put,Put,,,2016-01-28,put
Kalkdoseerunit,23,kdu,Kalkdoseerunit,,,2016-01-28,kalkdoseerunit
Drijflaagafvoerput,229,da-,Drijflaagafvoerput,,,2016-01-28,drijflaagafvoerput
Vijzelturbine,228,vtb,Vijzelturbine,,,2016-01-28,vijzelturbine
Ontwaterd slibpomp,227,osp,Ontwaterd slibpomp,,,2016-01-28,ontwaterd slibpomp
Slibpomp,226,sbp,Slibpomp,,,2016-01-28,slibpomp
Leegzuigpomp,225,lzp,Leegzuigpomp,,,2016-01-28,leegzuigpomp
Hulpstoffendoseerpomp,224,hdp,Hulpstoffendoseerpomp,,,2016-01-28,hulpstoffendoseerpomp
Recirculatievijzel,223,rcv,Recirculatievijzel,,,2016-01-28,recirculatievijzel
Externe afvalstoffenpomp,222,eap,Externe afvalstoffenpomp,,,2016-01-28,externe afvalstoffenpomp
Polymeertoevoerpomp,221,ptp,Polymeertoevoerpomp,,,2016-01-28,polymeertoevoerpomp
Spoelwatervijzel,220,swv,Spoelwatervijzel,,,2016-01-28,spoelwatervijzel
Metaalzoutendoseerunit,22,mzu,Metaalzoutendoseerunit,,,2016-01-28,metaalzoutendoseerunit
Analyseapparaatpomp,219,anp,Analyseapparaatpomp,,,2016-01-28,analyseapparaatpomp
Condensaatpomp,218,csp,Condensaatpomp,,,2016-01-28,condensaatpomp
Bedrijfswateraanvoerpomp,217,bap,Bedrijfswateraanvoerpomp,,,2016-01-28,bedrijfswateraanvoerpomp
Tussengemaalvijzel,216,tgv,Tussengemaalvijzel,,,2016-01-28,tussengemaalvijzel
Tussengemaalpomp,215,tgp,Tussengemaalpomp,,,2016-01-28,tussengemaalpomp
Zandtransportpomp,214,ztp,Zandtransportpomp,,,2016-01-28,zandtransportpomp
Voortstuwer,213,vs-,Voortstuwer,,,2016-01-28,voortstuwer
Voorbezonkenwatervijzel,212,vbv,Voorbezonkenwatervijzel,,,2016-01-28,voorbezonkenwatervijzel
Voorbezonkenwaterpomp,211,vbp,Voorbezonkenwaterpomp,,,2016-01-28,voorbezonkenwaterpomp
Verwarmingsketelpomp,210,vkp,Verwarmingsketelpomp,,,2016-01-28,verwarmingsketelpomp
Polymeerdoseercilinder,21,pdc,Polymeerdoseercilinder,,,2016-01-28,polymeerdoseercilinder
Uitgegistslibpomp,209,usp,Uitgegistslibpomp,,,2016-01-28,uitgegistslibpomp
Transportschroef,208,trs,Transportschroef,,,2016-01-28,transportschroef
Terreinrioleringspomp,207,trp,Terreinrioleringspomp,,,2016-01-28,terreinrioleringspomp
Surplusslibpomp,206,ssp,Surplusslibpomp,,,2016-01-28,surplusslibpomp
Sproeipomp,205,spp,Sproeipomp,,,2016-01-28,sproeipomp
Spoelwaterpomp,204,swp,Spoelwaterpomp,,,2016-01-28,spoelwaterpomp
Smeeroliepomp,203,sop,Smeeroliepomp,,,2016-01-28,smeeroliepomp
Slibtoevoerschroef,202,sts,Slibtoevoerschroef,,,2016-01-28,slibtoevoerschroef
Slibtoevoerpomp,201,stp,Slibtoevoerpomp,,,2016-01-28,slibtoevoerpomp
Slibcirculatiepomp,200,scp,Slibcirculatiepomp,,,2016-01-28,slibcirculatiepomp
Knooppunt rioolstelsel,20,kp-,Knooppunt rioolstelsel,,,2016-01-28,knooppunt rioolstelsel
Waterslot,2,ws-,Waterslot,,,2016-01-28,waterslot
Slibafvoerpomp,199,sap,Slibafvoerpomp,,,2016-01-28,slibafvoerpomp
Roostergoedschroef,198,rgs,Roostergoedschroef,,,2016-01-28,roostergoedschroef
Retourslibvijzel,197,rsv,Retourslibvijzel,,,2016-01-28,retourslibvijzel
Retourslibpomp,196,rsp,Retourslibpomp,,,2016-01-28,retourslibpomp
Recirculatiepomp,195,rcp,Recirculatiepomp,,,2016-01-28,recirculatiepomp
Primairslibpomp,194,psp,Primairslibpomp,,,2016-01-28,primairslibpomp
Pomp,193,p--,Pomp,,,2016-01-28,pomp
Polymeerdoseerpomp,192,pdp,Polymeerdoseerpomp,,,2016-01-28,polymeerdoseerpomp
Percolaatwaterpomp,191,pwp,Percolaatwaterpomp,,,2016-01-28,percolaatwaterpomp
Noodkoelpomp,190,nkp,Noodkoelpomp,,,2016-01-28,noodkoelpomp
Rioolstelsel,19,rss,Rioolstelsel,,,2016-01-28,rioolstelsel
Metaalzoutendoseerpomp,189,mdp,Metaalzoutendoseerpomp,,,2016-01-28,metaalzoutendoseerpomp
Lenspomp,188,lp-,Lenspomp,,,2016-01-28,lenspomp
Koelwaterpomp,187,kwp,Koelwaterpomp,,,2016-01-28,koelwaterpomp
Inlaatpomp,186,ilp,Inlaatpomp,,,2016-01-28,inlaatpomp
Ingedikt uitgegistslibpomp,185,iup,Ingedikt uitgegistslibpomp,,,2016-01-28,ingedikt uitgegistslibpomp
Ingedikt surplusslibpomp,184,isp,Ingedikt surplusslibpomp,,,2016-01-28,ingedikt surplusslibpomp
Ingedikt primairslibpomp,183,ipp,Ingedikt primairslibpomp,,,2016-01-28,ingedikt primairslibpomp
Influentvijzel,182,iv-,Influentvijzel,,,2016-01-28,influentvijzel
Influentpomp,181,ifp,Influentpomp,,,2016-01-28,influentpomp
Humusslibpomp,180,hsp,Humusslibpomp,,,2016-01-28,humusslibpomp
Veiligheidsrooster,18,vhr,Veiligheidsrooster,,,2016-01-28,veiligheidsrooster
Hevel,179,hv-,Hevel,,,2016-01-28,hevel
Gootspoelpomp,178,gsp,Gootspoelpomp,,,2016-01-28,gootspoelpomp
Gascompressor,177,gcp,Gascompressor,,,2016-01-28,gascompressor
Filtraatpomp,176,ftp,Filtraatpomp,,,2016-01-28,filtraatpomp
Effluentpomp,175,ep-,Effluentpomp,,,2016-01-28,effluentpomp
Effluentvijzel,174,ev-,Effluentvijzel,,,2016-01-28,effluentvijzel
Drijflaagafvoerpomp,173,dap,Drijflaagafvoerpomp,,,2016-01-28,drijflaagafvoerpomp
Drainagepomp,172,dp-,Drainagepomp,,,2016-01-28,drainagepomp
Compressor,171,cp-,Compressor,,,2016-01-28,compressor
Circulatiepomp-cv,170,cvp,Circulatiepomp-cv,,,2016-01-28,circulatiepomp-cv
Overloop,17,ovl,Overloop,,,2016-01-28,overloop
Chloordoseerpomp,169,cdp,Chloordoseerpomp,,,2016-01-28,chloordoseerpomp
Centrifugaatpomp,168,ctp,Centrifugaatpomp,,,2016-01-28,centrifugaatpomp
Bronwaterpomp,167,bwp,Bronwaterpomp,,,2016-01-28,bronwaterpomp
Breektankpomp,166,btp,Breektankpomp,,,2016-01-28,breektankpomp
Blower,165,bl-,Blower,,,2016-01-28,blower
Bergbezinkbassinvijzel,164,bbv,Bergbezinkbassinvijzel,,,2016-01-28,bergbezinkbassinvijzel
Bergbezinkbassinpomp,163,bbp,Bergbezinkbassinpomp,,,2016-01-28,bergbezinkbassinpomp
Bedrijfswaterpomp,162,bp-,Bedrijfswaterpomp,,,2016-01-28,bedrijfswaterpomp
Overnamepunt,161,op-,Overnamepunt,,,2016-01-28,overnamepunt
Container,160,ctr,Container,,,2016-01-28,container
Verdeelinrichting,16,vir,Verdeelinrichting,,,2016-01-28,verdeelinrichting
Elektromotor,159,em-,Elektromotor,,,2016-01-28,elektromotor
Ruimerbrugaandrijving,158,rba,Ruimerbrugaandrijving,,,2016-01-28,ruimerbrugaandrijving
Gasmotor,157,gm-,Gasmotor,,,2016-01-28,gasmotor
Spoelinrichting aandrijving,156,sia,Spoelinrichting aandrijving,,,2016-01-28,spoelinrichting aandrijving
Menger,155,mr-,Menger,,,2016-01-28,menger
Streng,154,stg,Streng,,,2016-01-28,streng
Biologisch gezuiverdwaterleiding,153,bgd,Biologisch gezuiverdwaterleiding,,,2016-01-28,biologisch gezuiverdwaterleiding
Spoelgoot,152,s--,Spoelgoot,,,2016-01-28,spoelgoot
Centrifugaatleiding,151,ctl,Centrifugaatleiding,,,2016-01-28,centrifugaatleiding
Ontwaterd slibleiding,150,osl,Ontwaterd slibleiding,,,2016-01-28,ontwaterd slibleiding
Verdeelwerk,15,vdw,Verdeelwerk,,,2016-01-28,verdeelwerk
Hydrauliekleiding,149,hdl,Hydrauliekleiding,,,2016-01-28,hydrauliekleiding
Bedrijfswaterleiding (gedesinfecteerd),148,bdg,Bedrijfswaterleiding (gedesinfecteerd),,,2016-01-28,bedrijfswaterleiding (gedesinfecteerd)
Hulpstoffenleiding,147,hl-,Hulpstoffenleiding,,,2016-01-28,hulpstoffenleiding
Meetgoot,146,m--,Meetgoot,,,2016-01-28,meetgoot
Externe afvalstoffenleiding,145,eal,Externe afvalstoffenleiding,,,2016-01-28,externe afvalstoffenleiding
Spoelwaterleiding,144,swl,Spoelwaterleiding,,,2016-01-28,spoelwaterleiding
Rookgasafvoerleiding,143,ral,Rookgasafvoerleiding,,,2016-01-28,rookgasafvoerleiding
Voorbezonkenwaterleiding,142,vbl,Voorbezonkenwaterleiding,,,2016-01-28,voorbezonkenwaterleiding
Mantelbuis,141,mb-,Mantelbuis,,,2016-01-28,mantelbuis
Metaalzoutenleiding,140,ml-,Metaalzoutenleiding,,,2016-01-28,metaalzoutenleiding
Ontvangwerk,14,ow-,Ontvangwerk,,,2016-01-28,ontvangwerk
Polymeerdoseerleiding,139,pdl,Polymeerdoseerleiding,,,2016-01-28,polymeerdoseerleiding
Ontluchtingsleiding,138,oll,Ontluchtingsleiding,,,2016-01-28,ontluchtingsleiding
Instrumentenluchtleiding,137,ill,Instrumentenluchtleiding,,,2016-01-28,instrumentenluchtleiding
Condensaatleiding,136,csl,Condensaatleiding,,,2016-01-28,condensaatleiding
Actiefslibleiding,135,asl,Actiefslibleiding,,,2016-01-28,actiefslibleiding
Roostergoedtransportleiding,134,rgl,Roostergoedtransportleiding,,,2016-01-28,roostergoedtransportleiding
Zandtransportleiding,133,ztl,Zandtransportleiding,,,2016-01-28,zandtransportleiding
Overloopleiding,132,ovg,Overloopleiding,,,2016-01-28,overloopleiding
Aardgasleiding,131,agl,Aardgasleiding,,,2016-01-28,aardgasleiding
Bypassleiding,130,bsl,Bypassleiding,,,2016-01-28,bypassleiding
Drijflaagbreker,13,db-,Drijflaagbreker,,,2016-01-28,drijflaagbreker
Gebroken drinkwaterleiding,129,gdw,Gebroken drinkwaterleiding,,,2016-01-28,gebroken drinkwaterleiding
Leegloopleiding,128,lll,Leegloopleiding,,,2016-01-28,leegloopleiding
Aflaatleiding,127,ald,Aflaatleiding,,,2016-01-28,aflaatleiding
Warmwaterleiding,126,wwl,Warmwaterleiding,,,2016-01-28,warmwaterleiding
Uitgegistslibleiding,125,usl,Uitgegistslibleiding,,,2016-01-28,uitgegistslibleiding
Cv-leiding,124,cvl,Cv-leiding,,,2016-01-28,cv-leiding
Terreinrioleringsleiding,123,trl,Terreinrioleringsleiding,,,2016-01-28,terreinrioleringsleiding
Surplusslibleiding,122,ssl,Surplusslibleiding,,,2016-01-28,surplusslibleiding
Smeerolieleiding,121,sol,Smeerolieleiding,,,2016-01-28,smeerolieleiding
Slibtoevoerleiding,120,stl,Slibtoevoerleiding,,,2016-01-28,slibtoevoerleiding
Korrelbreker,12,kb-,Korrelbreker,,,2016-01-28,korrelbreker
Slibleiding,119,sl-,Slibleiding,,,2016-01-28,slibleiding
Slibcirculatieleiding,118,scl,Slibcirculatieleiding,,,2016-01-28,slibcirculatieleiding
Slibafvoerleiding,117,sal,Slibafvoerleiding,,,2016-01-28,slibafvoerleiding
Rioolwatertransportleiding,116,rtl,Rioolwatertransportleiding,,,2016-01-28,rioolwatertransportleiding
Retourslibleiding,115,rsl,Retourslibleiding,,,2016-01-28,retourslibleiding
Bemalingsleiding,114,bml,Bemalingsleiding,,,2016-01-28,bemalingsleiding
Leidingtunnel,113,lk-,Leidingtunnel,,,2016-01-28,leidingtunnel
Proceswaterleiding,112,pwl,Proceswaterleiding,,,2016-01-28,proceswaterleiding
Procesluchtleiding,111,pll,Procesluchtleiding,,,2016-01-28,procesluchtleiding
Primairslibleiding,110,psl,Primairslibleiding,,,2016-01-28,primairslibleiding
Beluchtingsbrug,11,blb,Beluchtingsbrug,,,2016-01-28,beluchtingsbrug
Percolaatwaterleiding,109,pcl,Percolaatwaterleiding,,,2016-01-28,percolaatwaterleiding
Koelwaterleiding,108,kwl,Koelwaterleiding,,,2016-01-28,koelwaterleiding
Ingedikt uitgegistslibleiding,107,iul,Ingedikt uitgegistslibleiding,,,2016-01-28,ingedikt uitgegistslibleiding
Ingedikt surplusslibleiding,106,isl,Ingedikt surplusslibleiding,,,2016-01-28,ingedikt surplusslibleiding
Ingedikt primairslibleiding,105,ipl,Ingedikt primairslibleiding,,,2016-01-28,ingedikt primairslibleiding
Influentleiding,104,il-,Influentleiding,,,2016-01-28,influentleiding
Humusslibleiding,103,hsl,Humusslibleiding,,,2016-01-28,humusslibleiding
Biogasleiding,102,bgl,Biogasleiding,,,2016-01-28,biogasleiding
Effluentsloot,101,es-,Effluentsloot,,,2016-01-28,effluentsloot
Recirculatieleiding,100,rcl,Recirculatieleiding,,,2016-01-28,recirculatieleiding
Beluchtingselement,10,be-,Beluchtingselement,,,2016-01-28,
Spoelwaterklep,1,swk,Spoelwaterklep,,,2016-01-28,spoelwaterklep
